u_q,coolant,stator_winding,u_d,stator_tooth,motor_speed,i_d,i_q,pm,stator_yoke,ambient,torque,profile_id
-0.450681508,18.80517197,19.08666992,-0.350054592,18.29321861,0.002865568,0.004419137,0.000328102,24.55421448,18.31654739,19.85069084,0.187100798,17
-0.325737,18.81857109,19.09239006,-0.305803001,18.29480743,0.000256782,0.000605872,-0.000785353,24.53807831,18.31495476,19.85067177,0.245417491,17
-0.440864027,18.82876968,19.08938026,-0.372502625,18.29409409,0.002354971,0.001289587,0.000386468,24.54469299,18.3263073,19.85065651,0.176615342,17
-0.327025682,18.83556747,19.0830307,-0.316198707,18.2925415,0.006104666,2.56E-05,0.002045661,24.55401802,18.33083344,19.85064697,0.238302708,17
-0.47115013,18.85703278,19.08252525,-0.332272142,18.29142761,0.003132823,-0.064316779,0.037183776,24.56539726,18.32666206,19.85063934,0.208196655,17
-0.538972616,18.90154839,19.07710838,0.009147473,18.29062843,0.009636124,-0.613635242,0.336747348,24.57360077,18.32386208,19.85063362,0.476217836,17
-0.653148472,18.94171143,19.07458305,0.238889694,18.29252434,0.001337012,-1.005647302,0.554211259,24.57657814,18.32193565,19.85062981,0.670015335,17
-0.758391559,18.96086121,19.08249855,0.395099252,18.29404068,0.001421958,-1.288383722,0.706369996,24.57494926,18.3146553,19.8506279,0.752035499,17
-0.727128446,18.97354507,19.08553314,0.546622515,18.29196358,0.000576553,-1.490530491,0.81733948,24.56707954,18.30692482,19.85062599,0.910541415,17
-0.874307454,18.98781204,19.07602501,0.578943968,18.28723335,-0.00124788,-1.634463549,0.898012877,24.55324173,18.30173302,19.85062408,0.9240098,17
-0.766983986,18.9987011,19.07805443,0.689281404,18.28650284,0.001852675,-1.739207864,0.952029526,24.53422928,18.30541611,19.85062218,1.033538103,17
-0.891274869,19.00430298,19.08316231,0.680499315,18.28929901,-0.004142461,-1.812125683,0.995459974,24.5189209,18.30359268,19.87695885,1.031784534,17
-0.84374392,18.99006081,19.08957481,0.732882917,18.2870636,0.003363267,-1.866989851,1.022930622,24.50837708,18.31222153,19.90296555,1.080854416,17
-0.808621645,18.96543503,19.10191345,0.810526609,18.28453064,-0.003565325,-1.903730512,1.045553207,24.50167656,18.313797,19.85196304,1.115404129,17
-0.886074424,18.92910576,19.10184288,0.796229839,18.28499222,-0.00058039,-1.931227803,1.05921948,24.47671318,18.31996155,19.85222816,1.089079261,17
-0.826320052,18.88047218,19.09673882,0.843889654,18.28540039,0.000280462,-1.949552655,1.07179296,24.459692,18.33256531,19.85196304,1.151202679,17
-0.945092261,18.83951759,19.0927372,0.801049113,18.28534698,-0.001451866,-1.965535045,1.076939821,24.45814514,18.33057404,19.92391586,1.096611142,17
-0.842017174,18.80728531,19.09233856,0.851180732,18.28530693,-0.001538621,-1.974308014,1.08458364,24.46741867,18.32253647,19.90313911,1.163322806,17
-0.961187124,18.77907181,19.09185791,0.808190763,18.28528023,-0.003263093,-1.981452942,1.088360786,24.47800064,18.31739616,19.88825035,1.121820569,17
-0.912816584,18.77373123,19.09414291,0.833553672,18.2840271,0.000786953,-1.988195181,1.087742686,24.48329353,18.31097603,19.87758446,1.114811301,17
-0.916470885,18.80094528,19.10287666,0.827922523,18.28428268,-0.001279084,-1.99088645,1.092754245,24.50847816,18.30895424,19.8699398,1.120905161,17
-0.945531785,18.8354702,19.1078968,0.811725199,18.28427696,0.001446724,-1.994657516,1.09175992,24.53093719,18.30624008,19.86446381,1.110260606,17
-0.864643574,18.84711456,19.10292625,0.844667554,18.28480911,0.002650902,-1.995024204,1.095996976,24.53871918,18.30220795,19.86054039,1.172173738,17
-0.974432528,18.85686874,19.09906387,0.80317086,18.28588867,0.00016257,-1.997702599,1.093382597,24.53025627,18.30116844,19.85772705,1.115775347,17
-0.421774149,18.88525009,19.09810257,0.665909529,18.28851128,4.788293362,-2.099720001,2.062773943,24.5235672,18.30085182,19.85571289,0.638446748,17
5.692666054,18.9361248,19.09020042,-1.205160379,18.29266739,117.7774887,-3.191214561,11.29672813,24.52557945,18.30397797,19.85426903,2.689707518,17
16.27648544,18.96764946,19.08249283,-6.805256367,18.29325676,333.6721497,-6.213004112,26.67050552,24.48762894,18.32125854,19.85323524,10.85856247,17
30.2929306,18.97465324,19.08237839,-14.66652298,18.29194069,630.3953247,-8.841184616,39.17913055,24.4620266,18.33045769,19.85249329,18.12454796,17
46.82078171,18.98492622,19.08900452,-23.74708748,18.28914642,984.8758545,-10.72475052,48.14261246,24.44099808,18.3231163,19.85196304,23.26416588,17
65.26157379,18.99449539,19.07780457,-33.4334259,18.28610039,1380.684937,-11.98437214,54.39499283,24.43573952,18.31703758,19.85158157,26.64455414,17
84.11606598,18.99461174,19.05853081,-36.3999176,18.28391838,1806.124512,-13.85947418,51.28224182,24.4307766,18.31414986,19.85130882,23.39300919,17
91.33327484,18.99481392,19.0493412,-46.96298981,18.28050423,2252.754883,-32.17198181,54.01887512,24.36547089,18.31296921,19.85111427,26.75975418,17
94.83026123,18.97593689,19.05241966,-56.5373764,18.27701569,2714.523926,-52.63347244,55.17978668,24.28589821,18.3159008,19.85097504,29.10434723,17
95.68653107,18.9411068,19.08193779,-65.28024292,18.27636528,3187.173584,-73.00691986,55.30832672,24.26473618,18.31418991,19.85087395,30.66880989,17
